title,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
A Star Is Born,8.132779785,1.577111164,1.680248023,3.218621942,7.537609656,1.795052371,2.037465076,3.358323926,1.301841826,1.352012926,1.759786305,0.967026098,0.423788615,2.981142154,0.454384949,1.225337956,0.106470881,3.264503641,2.310906277,0.301659094,2.409321082,0.49516198299999997,2.537205755,0.360982397,0.15742145800000001,0.7093197059999999,1.33188054,40.382734468
A Star is Born BET Performance,2.036333023,0.803847671,0.92835407,1.839729197,2.984513315,0.959384503,1.671600047,2.839384752,0.600924802,0.939005872,1.046982777,0.606992249,0.303068328,1.045108908,0.377209162,0.26856826699999997,0.083833563,1.15566791,0.705692294,0.221930632,1.1760947959999999,0.203226656,1.322882684,0.173438899,0.339812872,0.842746715,0.771811503,17.189505418
A Thugz Prayer,0.19822593,0.071595678,0.318519411,0.652171905,0.833124598,0.201485369,0.627050742,0.9231255789999999,0.09092758000000001,0.31461068200000003,0.881333863,0.15378035,0.068198155,0.12017273199999999,0.074337017,0.034477719000000004,0.017480873,0.084912126,0.029557299999999998,0.05163849,0.18758532,0.030473319,0.411621026,0.027003182,0.025782294,0.145831297,0.136517572,6.84382825
A Week Ago,5.929309076,3.2756906580000003,5.342212519,8.335446806,9.67872233,2.701541821,2.5607124530000003,2.836250559,1.429501645,3.844496781,5.61818002,2.954652933,1.11542548,2.039304727,1.422513409,0.8508945250000001,0.265003396,2.251862465,1.283375447,0.788691953,3.17554828,0.503812452,4.006488184,0.425136388,0.710027518,2.83835329,1.633108181,48.97661894
A.M. to P.M.,1.39887112,0.695781911,5.197422004,5.699867342,3.155061969,0.972673486,0.613429393,0.6846902380000001,0.506679711,1.877171527,2.710179083,2.480194004,0.627785236,0.874618425,0.723110574,0.171555755,0.13236796,0.878156355,0.453906853,0.396889048,0.921838192,0.183093165,1.468002712,0.15348003500000001,0.34465466,1.215450243,0.700085698,21.233069114
ASAP,1.009586974,0.497691355,3.237336507,4.830506053,3.802936137,1.230183091,1.207007591,1.329932939,0.56109297,2.298939378,3.70329914,1.7009395,0.626169446,0.609126982,0.8126492439999999,0.211142135,0.149535011,0.521526961,0.185610805,0.458588334,1.226507391,0.179708496,2.080928883,0.170173181,0.42361375,1.497253102,0.845592059,23.970676395
Acknowledge,3.048560456,0.886766793,5.477805253,7.122842494,6.008285162,1.883185754,1.905423148,2.084733776,0.984237532,2.809468674,4.201285013,2.695949775,0.850366015,1.140972883,1.042830989,1.368468338,0.200205663,1.102774195,0.58923101,0.591907021,2.278427083,0.32868687,2.72694173,0.298316794,0.448246321,1.846255191,1.141546551,30.53747279
Adrenaline,3.434798004,2.042674648,3.965136837,5.946446484,7.880938108,1.918602842,1.983646781,2.578326335,1.096101367,2.225404619,3.07694468,1.939881934,0.657775546,1.950099645,0.754655034,0.310674949,0.156439634,1.831351962,0.643868349,0.462109533,1.920814876,0.383012694,3.20822971,0.302085044,0.302002227,1.422263733,1.24328487,64.121756375
Adventures of Super Rhyme Rap,19.489533142,5.355142967,6.822147875,12.910493637,26.156966703,6.851150451,4.470562327,5.867783842,4.23630045,6.400063869,8.535444064,3.911943443,1.785120093,7.807243212,2.19770581,4.576764658,0.482931036,8.566742655,7.227808329,1.360495209,8.431165322,1.462592386,10.367875311,1.179623987,1.513396429,4.863505439,4.222649814,156.117171318
Affirmative Action,2.437805081,0.940397855,4.013663099,6.097889629,5.423458833,1.500598608,2.337976117,3.327256369,0.851587135,2.272669457,2.819857913,2.084445021,0.701029127,1.291475104,0.844577997,0.24319707299999999,0.162410119,1.169306862,0.838190798,0.482399243,1.522094022,0.284351085,2.664542147,0.236699506,0.321746696,1.489490873,1.106347193,48.596655979
Against All Odds,5.17169051,1.54082915,10.98746146,12.886064415,6.760393233,2.345493091,2.347204645,3.2006102,1.250738897,4.283334005,5.60657546,5.163203301,1.489733283,2.0694911879999998,1.681229499,1.161088131,0.349829073,2.2385777669999998,2.532493679,0.986133805,2.218073984,0.514781136,3.299793521,0.420246466,0.710350252,2.696552136,1.881510791,38.829655572
Aint Life Grand,2.85579807,0.983748148,3.701869931,5.739003416,6.142560368,2.10456983,1.479587984,1.60512193,1.152565888,2.622110948,4.9345774250000005,1.887080497,0.670816233,1.428711386,0.797420516,0.467050471,0.182636802,1.632466952,1.2730572470000001,0.513340053,2.600973613,0.363683337,3.041859655,0.332902682,0.328128058,1.464581439,1.094056063,34.706804404
Aint No Fun If the Homies Cant Have None,2.415777136,0.89350181,7.28865475,8.370283147,4.106762843,1.364120503,1.719625175,2.187857794,0.720136707,3.544498896,4.551418873,3.601063038,1.07914105,1.171948811,1.324604547,0.59430316,0.233237041,1.130261349,1.1249930799999999,0.710034289,1.363342849,0.264597113,2.333390004,0.234675845,0.5394727,2.26510816,1.220934731,27.217865985
Aint No Nigga,3.821811819,3.8157084070000002,8.019907093,9.505363825,6.780811795,2.1149263879999998,2.160483256,2.874965596,1.10790366,3.253011407,4.619765179,3.732567782,1.094004262,1.724213451,1.207634301,0.618975708,0.249949752,2.226749664,1.8387797270000001,0.718501787,2.1769446,0.409241892,3.13980638,0.350470322,0.559404986,2.079056539,1.498914401,44.711164509
Ain’t Got Time The W. Carter Collection,1.604573475,0.533566771,3.159728608,4.4801059830000005,4.303364597,1.261934253,1.511648775,2.115310351,0.611907569,1.714866961,2.740172066,1.513648586,0.484058159,0.799716604,0.542653559,0.219037914,0.119069439,0.760352361,0.453887009,0.34704473,1.227108352,0.208736409,1.971787698,0.176765273,0.190839806,0.879119127,0.746311894,26.57690539
Airplanes,2.132499799,0.980253375,1.22532375,2.435359602,6.386129282,2.456711786,3.443076626,5.868431711,1.524084301,1.368269391,1.792110687,0.6771548589999999,0.361625008,1.424320026,0.415435517,0.638781001,0.127344264,1.676999077,0.442752842,0.309789606,4.146922062,0.386098346,2.859600308,0.399008847,0.43718120699999996,1.020534731,1.149578194,24.378890936
Airplanes Pt. 2,3.307017238,1.511508016,3.376691927,5.808776491,9.157776285,3.387270006,3.582688834,5.704220237,2.005935926,3.0710569690000002,4.510989903,1.834169159,0.750704904,1.99582091,0.915614316,0.673960858,0.220715518,2.181753216,0.80831791,0.614003769,5.157113122,0.532035758,4.512139049,0.52367339,0.370657552,1.7872434480000001,1.651543947,40.4461545
Alejandro,2.597461765,0.959114244,3.089674311,5.311400872,4.007594037,1.185674129,0.880820909,0.750219204,0.545066019,2.070652242,5.28141077,1.434013876,0.474204099,0.95790657,0.540247844,0.320574201,0.111127489,1.350980856,1.9949521950000002,0.341106776,1.1344748789999999,0.202868952,2.011761186,0.170299586,0.179726727,0.9517238769999999,0.56017147,32.60170354
All About The Money,3.125716175,0.918855807,4.279163349,5.600165168,6.341249649,1.855920894,1.173746799,1.4565390310000002,1.019413849,1.915984117,3.109139387,1.957167864,0.590534809,1.514529157,0.656379988,0.313322272,0.137666125,1.601517955,0.76596781,0.39825991,2.112930408,0.344479829,2.406871691,0.276085368,0.264329986,1.159653269,0.798744816,37.27573071
All Around the World,3.846435285,1.269305269,1.644931541,2.816737512,5.802842776,1.44192641,1.051097014,1.539683365,0.959139588,1.120658133,1.358828439,0.821893615,0.342255115,1.780675802,0.403025019,0.360900724,0.094954657,1.822674766,1.6584119210000001,0.257607748,1.861143871,0.332513451,2.148347064,0.262857721,0.20386321500000001,0.806104299,0.941655276,41.910365257
All Falls Down,5.483048395,2.357399535,6.530487781,11.566410161,12.56798714,4.164419301,3.316305717,4.125229357,2.151162291,5.837898368,7.95570232,3.822456927,1.580169227,2.678368001,2.065773923,0.834881399,0.402874946,2.821385363,2.016030336,1.196584352,4.65014205,0.706268038,6.271604799,0.62295372,0.863345244,3.885658565,2.39331174,77.037199546
All I Do Is Win,3.451322542,1.9597844949999998,2.299320373,3.855357197,5.960180794,1.826947121,0.8566075479999999,1.097354879,1.003605737,1.956369813,2.191921159,1.301053112,0.522475594,1.533707844,0.7194296800000001,0.484439363,0.147744243,1.730989646,0.843572763,0.414638425,2.047134875,0.346672088,2.424429368,0.289415954,0.358102103,1.542735163,0.9298139080000001,38.032260385
All I Do Is Win Remix,5.088130014,1.336650074,4.904547298,7.1495400469999995,9.86622852,2.997789597,1.338298628,1.553139059,1.510488495,3.088018558,4.407784839,2.402838879,0.824696117,2.047925541,1.079406894,0.716280814,0.222053804,2.347991745,1.194647486,0.633424939,3.319801954,0.523160323,3.767424906,0.435885238,0.51019659,2.168929189,1.119053503,53.19793974
All I Need Remix,5.677850637,1.89126926,1.908957201,3.720545652,9.187376147,2.906629852,0.81145299,0.931949846,1.641520409,2.355925162,2.168398805,1.276512483,0.614367491,2.168992557,0.886429946,1.027505409,0.203373027,2.767893107,2.55738052,0.534710579,3.731540755,0.552586451,3.207656201,0.48187209400000003,0.518671588,2.007503436,1.116995937,38.671204048999996
All I Want Is You,2.094873614,2.467423071,3.2472186499999998,5.372094902,5.128841769,1.832108766,2.078293714,2.634793856,1.31514772,3.186529687,3.609207248,2.163854061,0.987154658,1.828483639,1.328986421,0.354679541,0.242727882,1.737373042,0.50062745,0.71004572,2.594602062,0.35892957400000003,3.039105742,0.350172452,0.954147973,2.899339681,2.155140602,24.709843471
All In The Club,2.210768056,1.034262663,3.437191271,5.338035038,6.049962963,1.581590097,2.427514265,3.4573971119999998,0.868699703,1.980325062,3.2484864829999998,1.640512711,0.580849251,1.3659999950000001,0.661047279,0.27653094,0.138589652,1.262343051,0.80848241,0.40423749999999997,1.6364392620000001,0.28665525599999997,2.759065584,0.242299747,0.294257127,1.300630668,1.114353416,55.47243796
All White Everything,1.579876918,0.598157436,1.104695638,2.043696632,3.620179188,0.728666328,0.999535702,1.470880835,0.481410121,0.737067841,1.036657607,0.519183538,0.22384399700000002,0.955314328,0.242304861,0.118448409,0.054170051000000004,0.827306854,0.423917063,0.158222208,0.817064995,0.162055171,1.453024037,0.125404129,0.092405287,0.446351415,0.687914636,33.6827127
Allure,3.859323882,1.672870304,2.6842629319999998,5.529783052,6.857735968,2.558097437,1.759634014,1.788574719,1.445935809,3.66430612,3.770332764,2.074714463,1.033686391,2.01616419,1.443460443,0.500547843,0.274385113,2.415282617,1.9729442590000001,0.797840307,2.963523328,0.463197115,3.508068005,0.420282883,0.721559094,2.784806706,1.853316916,36.141915485
Almost Famous,3.152562195,1.788193052,8.485217456,10.634902496,7.039158379,2.907919875,2.461359562,3.310526282,1.623583702,4.192961857,5.801947229,4.059644501,1.221493805,1.747645387,1.486751923,0.607468797,0.310425992,1.928305467,0.767601568,0.880494223,3.619220421,0.477932164,3.791025303,0.456322133,0.650583411,2.702327537,1.5518583049999999,37.21817584
Already Home,2.801989703,1.143833281,7.257635984,9.856061472,8.229981265,2.018218621,3.546523865,4.087051221,1.161090483,3.789843767,5.908183936,3.493582285,1.155373232,1.7089033,1.341360449,0.322980335,0.254994844,1.32143657,1.020060469,0.771891038,2.184908862,0.382466209,4.174819756,0.327809957,0.597807679,2.512533381,1.772163159,60.307655053
Always Coming Back Home to You,3.6410471110000002,1.159845777,1.826433393,3.965710915,6.683170877,1.819007824,1.231156414,1.104498645,1.042207498,2.493457592,2.78981721,1.358818762,0.670150632,1.562778791,0.96367029,0.53466334,0.171295654,1.692007242,1.507948821,0.520996608,2.14801999,0.350966823,2.955653935,0.295253411,0.41683416,1.955737379,1.127209694,35.672020168
Always Strapped Remix 1,2.892367978,1.456373139,3.380924297,5.21696293,5.057179698,1.500215558,0.887219395,1.174923172,0.8641685689999999,1.821092344,2.09399881,1.641172608,0.568402656,1.581894371,0.658299536,0.276018121,0.140537622,1.816146473,1.599769593,0.404526595,1.474231514,0.315654537,2.23327232,0.24786017800000001,0.242827683,1.1213013,0.886529653,39.22495549
Amazing,10.33279872,0.5490761200000001,1.202300811,2.225653225,3.564906842,1.28883221,0.717533541,1.02542157,0.798047341,1.447563413,2.057905537,0.869748074,0.394069604,1.894572626,0.590062867,1.178360238,0.106083835,2.995628601,6.021587324,0.298062433,1.83570647,0.375125573,1.332687312,0.288554823,0.444521539,1.3982678689999999,0.700648779,8.316878255999999
